"date_time","ti","te","td","resistor","fan"
"2021-03-19 14:23:47","51.85","22.15","76.00","100.00","0.00"
"2021-03-19 14:23:48","51.85","27.14","76.00","100.00","0.00"
"2021-03-19 14:23:49","50.92","27.14","76.00","100.00","0.00"
"2021-03-19 14:23:50","52.21","27.14","76.00","100.00","0.00"
"2021-03-19 14:23:52","52.21","27.14","76.00","100.00","0.00"
"2021-03-19 14:23:53","51.98","27.14","76.00","100.00","0.00"
"2021-03-19 14:23:54","51.98","27.14","76.00","100.00","0.00"
"2021-03-19 14:23:55","51.79","27.14","76.00","100.00","0.00"
"2021-03-19 14:23:57","50.50","27.14","76.00","100.00","0.00"
"2021-03-19 14:23:58","50.50","27.14","76.00","100.00","0.00"
"2021-03-19 14:23:59","49.11","27.15","76.00","100.00","0.00"
"2021-03-19 14:24:00","49.11","27.15","76.00","100.00","0.00"
"2021-03-19 14:24:01","49.15","27.15","76.00","100.00","0.00"
"2021-03-19 14:24:03","49.56","27.15","76.00","100.00","0.00"
"2021-03-19 14:24:04","49.56","27.15","76.00","100.00","0.00"
"2021-03-19 14:24:05","49.76","27.15","76.00","100.00","0.00"
"2021-03-19 14:24:06","49.76","27.15","76.00","100.00","0.00"
"2021-03-19 14:24:07","51.05","27.15","76.00","100.00","0.00"
"2021-03-19 14:24:09","51.05","27.15","76.00","100.00","0.00"
"2021-03-19 14:24:10","52.08","27.15","76.00","100.00","0.00"
"2021-03-19 14:24:11","51.95","27.15","76.00","100.00","0.00"
"2021-03-19 14:24:12","51.95","27.15","76.00","100.00","0.00"
"2021-03-19 14:24:13","51.66","27.16","76.00","100.00","0.00"
"2021-03-19 14:24:15","51.66","27.16","76.00","100.00","0.00"
"2021-03-19 14:24:16","51.37","27.16","76.00","100.00","0.00"
"2021-03-19 14:24:17","51.11","27.16","76.00","100.00","0.00"
"2021-03-19 14:24:18","51.11","27.16","76.00","100.00","0.00"
"2021-03-19 14:24:20","52.08","27.16","76.00","100.00","0.00"
"2021-03-19 14:24:21","52.08","27.16","76.00","100.00","0.00"
"2021-03-19 14:24:22","52.40","27.16","76.00","100.00","0.00"
"2021-03-19 14:24:23","53.21","27.16","76.00","100.00","0.00"
"2021-03-19 14:24:24","53.21","27.16","76.00","100.00","0.00"
"2021-03-19 14:24:26","53.27","27.16","76.00","100.00","0.00"
"2021-03-19 14:24:27","53.27","27.16","76.00","100.00","0.00"
"2021-03-19 14:24:28","52.98","27.16","76.00","100.00","0.00"
"2021-03-19 14:24:29","52.98","27.16","76.00","100.00","0.00"
"2021-03-19 14:24:30","52.56","27.16","76.00","100.00","0.00"
"2021-03-19 14:24:32","52.24","27.17","76.00","100.00","0.00"
"2021-03-19 14:24:33","52.24","27.17","76.00","100.00","0.00"
"2021-03-19 14:24:34","52.66","27.17","76.00","100.00","0.00"
"2021-03-19 14:24:35","52.66","27.17","76.00","100.00","0.00"
"2021-03-19 14:24:36","53.69","27.17","76.00","100.00","0.00"
"2021-03-19 14:24:38","53.53","27.17","76.00","100.00","0.00"
"2021-03-19 14:24:39","53.53","27.17","76.00","100.00","0.00"
"2021-03-19 14:24:40","53.43","27.17","76.00","100.00","0.00"
"2021-03-19 14:24:41","53.43","27.17","76.00","100.00","0.00"
"2021-03-19 14:24:43","53.95","27.17","76.00","100.00","0.00"
"2021-03-19 14:24:44","51.50","27.17","76.00","100.00","0.00"
"2021-03-19 14:24:45","51.50","27.17","76.00","100.00","0.00"
"2021-03-19 14:24:46","50.53","27.17","76.00","100.00","0.00"
"2021-03-19 14:24:47","50.53","27.18","76.00","100.00","0.00"
"2021-03-19 14:24:49","50.89","27.18","76.00","100.00","0.00"
"2021-03-19 14:24:50","50.89","27.18","76.00","100.00","0.00"
"2021-03-19 14:24:51","52.11","27.18","76.00","100.00","0.00"
"2021-03-19 14:24:52","52.43","27.18","76.00","100.00","0.00"
"2021-03-19 14:24:53","52.43","27.18","76.00","100.00","0.00"
"2021-03-19 14:24:55","54.21","27.18","76.00","100.00","0.00"
"2021-03-19 14:24:56","54.21","27.18","76.00","100.00","0.00"
"2021-03-19 14:24:57","55.08","27.18","76.00","100.00","0.00"
"2021-03-19 14:24:58","55.56","27.18","76.00","100.00","0.00"
"2021-03-19 14:24:59","55.56","27.18","76.00","100.00","0.00"
"2021-03-19 14:25:01","55.01","27.18","76.00","100.00","0.00"
"2021-03-19 14:25:02","55.01","27.18","76.00","100.00","0.00"
"2021-03-19 14:25:03","54.69","27.18","76.00","100.00","0.00"
"2021-03-19 14:25:04","54.50","27.18","76.00","100.00","0.00"
"2021-03-19 14:25:06","54.50","27.18","76.00","100.00","0.00"
"2021-03-19 14:25:07","54.27","27.18","76.00","100.00","0.00"
"2021-03-19 14:25:08","54.27","27.18","76.00","100.00","0.00"
"2021-03-19 14:25:09","54.72","27.19","76.00","100.00","0.00"
"2021-03-19 14:25:10","54.72","27.19","76.00","100.00","0.00"
"2021-03-19 14:25:12","54.33","27.19","76.00","100.00","0.00"
"2021-03-19 14:25:13","55.30","27.19","76.00","100.00","0.00"
"2021-03-19 14:25:14","55.30","27.19","76.00","100.00","0.00"
"2021-03-19 14:25:15","56.14","27.19","76.00","100.00","0.00"
"2021-03-19 14:25:16","56.14","27.19","76.00","100.00","0.00"
